,sample,ratio,anneal,tbp_frac,Quality,state,image,group,ratio_step
316,79,0.38836838012315655,150,0.0,0.9430364882168564,after,full,3,0.4
320,80,0.36419003421925306,250,0.0,0.9048384282252064,after,full,3,0.4
324,81,0.5970996108615304,0,0.0,0.8387909787504569,after,full,3,0.6000000000000001
328,82,0.6063994341158291,100,0.0,0.6900518988714675,after,full,3,0.6000000000000001
332,83,0.5835720879675768,200,0.0,0.9101192415084528,after,full,3,0.6000000000000001
336,84,0.8026079309056726,50,0.0,0.3233736452454215,after,full,3,0.8
340,85,0.8061944003294684,150,0.0,0.6846197655363737,after,full,3,0.8
344,86,0.8084199608640072,250,0.0,0.708731750269299,after,full,3,0.8
348,87,1.0271858540770409,0,0.0,0.09360260396193633,after,full,3,1.0
352,88,1.0108106218380033,100,0.0,0.2937029919627568,after,full,3,1.0
356,89,1.0524638387407013,200,0.0,0.4558863259659594,after,full,3,1.0
360,90,0.0,50,0.2770199370409227,0.20176467600116588,after,full,3,0.0
364,91,0.0,150,0.2669753086419746,0.16933575680266824,after,full,3,0.0
368,92,0.0,250,0.2691914022517907,0.2459514924102341,after,full,3,0.0
372,93,0.1915296374140823,0,0.277807630306286,0.1959750408600287,after,full,3,0.2
376,94,0.18682540070566747,100,0.2794117647058844,0.415507054887712,after,full,3,0.2
380,95,0.18522193190118813,200,0.283989501312336,0.417026526912156,after,full,3,0.2
384,96,0.3928941181000624,50,0.27626050420168075,0.2468953496452583,after,full,3,0.4
388,97,0.396592912098911,150,0.2806095638465573,0.7773084693446594,after,full,3,0.4
392,98,0.4074743311877455,250,0.28108672936259194,0.7521834776574827,after,full,3,0.4
396,99,0.6083406888068684,0,0.2767624020887725,0.2979002622102954,after,full,3,0.6000000000000001
400,100,0.5903142194254869,100,0.2793885081707983,0.93914894192763,after,full,3,0.6000000000000001
404,101,0.6476140821234931,200,0.2822916666666677,0.756208284434093,after,full,3,0.6000000000000001
408,102,0.826852347165942,50,0.2804177545691917,0.2859599615457346,after,full,3,0.8
412,103,0.7953707377522372,150,0.2800624674648613,0.4419637897112609,after,full,3,0.8
416,104,0.8098709032951799,250,0.2768421052631579,0.5290306517145718,after,full,3,0.8
420,105,1.0132341077825011,0,0.2820919175911249,0.13034864115964054,after,full,3,1.0
424,106,1.0156230207321697,100,0.2820378151260504,0.29330538073554635,after,full,3,1.0
428,107,0.9937055697180968,200,0.2854897852278672,0.26851308192936296,after,full,3,1.0
432,108,0.0,50,0.07584830339321387,0.06305596610131349,after,full,3,0.0
436,109,0.0,150,0.07888167748377456,0.4129316892333167,after,full,3,0.0
440,110,0.0,250,0.08398821218074723,0.6648229333906152,after,full,3,0.0
444,111,0.1819176196797981,0,0.08102667337694885,0.32412093896266964,after,full,3,0.2
448,112,0.1831207858838365,100,0.07933299646285925,0.6804559579898563,after,full,3,0.2
452,113,0.2279773431059255,200,0.08670238675109494,0.8714697157316234,after,full,3,0.2
456,114,0.3687778135060979,50,0.09072580645161188,0.7924766064742985,after,full,3,0.4
460,115,0.39103617082962266,150,0.08435582822085952,0.9548518251141777,after,full,3,0.4
464,116,0.3849530486474793,250,0.0830753353973178,0.9132923042482656,after,full,3,0.4
468,117,0.588410388562394,0,0.07409326424870454,0.08933572319801897,after,full,3,0.6000000000000001
472,118,0.5890146250004827,100,0.08012326656394479,0.7207444929720267,after,full,3,0.6000000000000001
476,119,0.5786266316591381,200,0.08548305513404188,0.9425523822074352,after,full,3,0.6000000000000001
480,120,0.9018153808904338,50,0.10877684407096117,0.4818707479963727,after,full,3,1.0
484,121,0.8097370082237058,150,0.0819755600814656,0.7004879077177738,after,full,3,0.8
488,122,0.8008271486594661,250,0.08237747653806039,0.6825951584614813,after,full,3,0.8
492,123,1.0295783922345605,0,0.07912087912088,0.1445360722819991,after,full,3,1.0
496,124,1.0385807978780004,100,0.08246887966805104,0.19705567845021896,after,full,3,1.0
500,125,1.003121839746098,200,0.07951070336391461,0.2312289683664541,after,full,3,1.0
504,126,0.0,50,0.21678321678321766,0.18796781138719426,after,full,3,0.0
508,127,0.0,150,0.21439355812783176,0.13422786038616955,after,full,3,0.0
512,128,0.0,250,0.2139999999999989,0.3371109604435649,after,full,3,0.0
516,129,0.1901668953792025,0,0.22280334728033546,0.17799525722385506,after,full,3,0.2
520,130,0.19100767121645898,100,0.22343182996371094,0.44693478699976014,after,full,3,0.2
524,131,0.18042872750323494,200,0.22068612391193215,0.3395734300745813,after,full,3,0.2
528,132,0.3933142385302177,50,0.22205128205128166,0.2970589258323383,after,full,3,0.4
532,133,0.3961699345321048,150,0.2295782167645485,0.8743177682677608,after,full,3,0.4
536,134,0.38300984941932936,250,0.22427035330261216,0.7789966664884401,after,full,3,0.4
540,135,0.6022887051987189,0,0.22681505034446084,0.08414454789548788,after,full,3,0.6000000000000001
544,136,0.6367965106009954,100,0.23040000000000066,0.7825183688622454,after,full,3,0.6000000000000001
548,137,0.6070269332068818,200,0.24176408076514436,0.7947446364180549,after,full,3,0.6000000000000001
552,138,0.8258601593483175,50,0.22168803418803307,0.2555875971498292,after,full,3,0.8
556,139,0.8267127888567636,150,0.22435545803620288,0.6551159020594279,after,full,3,0.8
560,140,0.7710032739896666,250,0.21858774662513036,0.7755138165843876,after,full,3,0.8
564,141,1.001600403221128,0,0.2311015118790511,0.07390202946819202,after,full,3,1.0
568,142,1.0553943468541436,100,0.2222800624674647,0.19024028932756706,after,full,3,1.0
572,143,1.0190037157454752,200,0.22467191601049946,0.2582051285097133,after,full,3,1.0
576,144,0.18373838871949705,250,0.1574358974358973,0.2808977667920534,after,full,3,0.2
580,145,0.38359019955719537,150,0.15748031496063108,0.8515643319519965,after,full,3,0.4
584,146,0.0,250,0.1513647642679894,0.3532462676926313,after,full,3,0.0
588,147,0.18212576139120287,100,0.15618556701030853,0.4676930038865818,after,full,3,0.2
592,148,0.3915692200284664,100,0.1616954474097327,0.7549296250647825,after,full,3,0.4
